OG0000000_00	XP_062715167.1	99.0	LOC134291446	uncharacterized LOC134291446
OG0000002_00	XP_038111297.1	97.0	LOC119767239	uncharacterized LOC119767239
OG0000003_00	XP_062699559.1	100	LOC134284592	histone H1-like
OG0000004_00	XP_021707228.1	58.3	LOC110678537	uncharacterized LOC110678537
OG0000005_00	XP_001656987.1	100	LOC5578464	histone H2B
OG0000006_00	XP_001660181.2	62.6	2mit	leucine-rich repeat-containing protein 2mit
OG0000007_00	XP_053699288.1	80.4	LOC128746263	uncharacterized LOC128746263
OG0000008_00	XP_045466713.1	100	LOC123675404	histone H4-like
OG0000009_00	XP_049465223.1	98.4	LOC125907389	uncharacterized protein K02A2.6-like
OG0000012_00	XP_001660776.1	100	LOC5573160	ejaculatory bulb-specific protein 3
OG0000012_01	XP_001660784.1	100	LOC5573168	ejaculatory bulb-specific protein 3
OG0000012_02	XP_021710636.1	100	LOC110679624	ejaculatory bulb-specific protein 3-like
OG0000012_03	XP_001660786.1	100	LOC5573170	ejaculatory bulb-specific protein 3
OG0000013_00	XP_063391092.1	100	LOC134676626	histone H2A-like
OG0000014_00	XP_062701849.1	93.9	LOC115265478	uncharacterized LOC115265478
OG0000015_00	XP_062714955.1	100	LOC134291336	uncharacterized protein K02A2.6-like
OG0000016_00	XP_040224423.2	77.9	LOC120950458	uncharacterized LOC120950458
OG0000017_00	XP_062699819.1	90.4	LOC134284703	uncharacterized protein K02A2.6-like
OG0000018_00	XP_021703019.1	100	LOC5569062	neural-cadherin
OG0000019_00	XP_040225304.2	99.8	LOC120950944	F-box/LRR-repeat protein 2-like
OG0000020_00	XP_001649812.1	91.7	LOC5565431	cuticle protein 19
OG0000020_01	XP_029735741.2	90.4	LOC109399494	cuticle protein 19-like
OG0000020_02	XP_001649587.2	83.7	LOC5565248	cuticle protein 19
OG0000020_03	XP_001659646.1	100	LOC5571364	cuticle protein 19
OG0000021_00	XP_001661222.1	96.7	LOC5574168	mantle protein
OG0000022_00	XP_001653878.2	98.3	LOC5572210	uncharacterized LOC5572210
OG0000023_00	XP_038105467.1	100	LOC119765521	uncharacterized LOC119765521
OG0000024_00	XP_062713242.1	94.8	LOC109426869	uncharacterized LOC109426869
OG0000025_00	XP_021709001.1	100	LOC110679200	perlucin-like protein
OG0000025_01	XP_029732103.2	85.4	LOC115268191	perlucin
OG0000025_02	XP_001651192.2	100	LOC5566785	perlucin
OG0000025_03	XP_021694337.1	97.1	LOC5570403	uncharacterized LOC5570403
OG0000027_00	XP_038116903.1	66.1	LOC119769075	uncharacterized protein K02A2.6-like
OG0000028_00	XP_021709062.1	98.9	LOC110679225	uncharacterized LOC110679225
OG0000028_01	XP_021711282.1	99.4	LOC110679828	uncharacterized LOC110679828
OG0000030_00	XP_021712270.1	98.8	LOC110680794	uncharacterized LOC110680794
OG0000035_00	XP_021702546.1	96.7	LOC5566796	uncharacterized LOC5566796
OG0000037_00	XP_001656659.2	96.6	LOC5577661	transmembrane protease serine 9
OG0000037_01	XP_001858640.2	99.0	LOC6043379	chymotrypsin-like elastase family member 2A
OG0000037_02	XP_019557259.3	96.2	LOC109426246	chymotrypsin-like protease CTRL-1
OG0000039_00	XP_061510447.1	95.8	LOC1270694	microfibril-associated glycoprotein 4
OG0000040_00	XP_062713306.1	97.0	LOC134290247	uncharacterized protein K02A2.6-like
OG0000041_00	XP_021696720.1	91.6	LOC110675601	zinc finger protein 26-like
OG0000041_01	XP_062711625.1	80.4	LOC109401862	gastrula zinc finger protein xFG20-1
OG0000042_00	XP_039451578.1	54.9	LOC120430530	uncharacterized LOC120430530
OG0000043_00	XP_049464964.1	52.7	LOC120959090	zinc finger protein 54-like
OG0000045_00	XP_038116925.1	95.4	LOC119769094	uncharacterized LOC119769094
OG0000046_00	XP_038118548.1	90.3	LOC119769590	uncharacterized LOC119769590
OG0000047_00	XP_001653409.2	98.7	LOC5570943	CD209 antigen-like protein E
OG0000047_01	XP_021698853.1	86.8	LOC5575060	chymotrypsinogen B
OG0000047_02	XP_029730636.2	74.5	LOC109426181	C-type lectin-like
OG0000049_00	XP_053686613.1	98.0	LOC128736159	uncharacterized LOC128736159
OG0000050_00	XP_062701721.1	77.1	LOC134285252	uncharacterized LOC134285252
OG0000052_00	XP_001845129.1	80.2	LOC6034859	adult cuticle protein 1
OG0000052_01	XP_029726930.1	71.7	LOC115253746	adult cuticle protein 1-like
OG0000052_02	XP_019551242.2	98.4	LOC109421209	adult cuticle protein 1
OG0000054_00	XP_062716164.1	99.7	LOC134291845	uncharacterized LOC134291845
OG0000054_01	XP_038111781.1	75.4	LOC119767378	uncharacterized LOC119767378
OG0000055_00	XP_001660071.2	98.8	LOC5571975	uncharacterized LOC5571975
OG0000057_00	XP_036412326.1	100	LOC118797177	histone H3
OG0000058_00	XP_021703367.1	99.3	LOC110677075	uncharacterized LOC110677075
OG0000058_01	XP_029727613.1	79.2	LOC115265810	uncharacterized LOC115265810
OG0000060_00	XP_038116589.1	88.9	LOC119768892	uncharacterized LOC119768892
OG0000061_00	XP_001662773.1	98.9	LOC5576619	uncharacterized LOC5576619
OG0000061_01	XP_019535191.2	92.5	LOC109406551	uncharacterized LOC109406551
OG0000061_02	XP_001864209.2	94.9	LOC6047110	uncharacterized LOC6047110
OG0000062_00	XP_062709622.1	83.7	LOC134288528	uncharacterized LOC134288528
OG0000062_01	XP_019931133.2	91.6	LOC109621527	uncharacterized LOC109621527
OG0000063_00	XP_062708104.1	91.6	Bap170	Brahma associated protein 170kD
OG0000065_00	XP_001660973.1	74.0	LOC5573647	zinc finger protein 1 homolog
OG0000065_01	XP_019544610.2	94.2	LOC109415182	zinc finger protein 454
OG0000065_02	XP_062705330.1	95.0	LOC115262059	zinc finger protein 814-like
OG0000066_00	XP_001660349.1	85.5	LOC5572420	larval cuticle protein A2B
OG0000066_01	XP_062703201.1	87.3	LOC109398585	larval cuticle protein A2B-like
OG0000067_00	XP_001657786.1	99.3	LOC5567964	trypsin-1
OG0000067_01	XP_001658491.2	100	LOC5569396	trypsin 5G1-like
OG0000069_00	XP_053691486.1	81.1	LOC128740001	uncharacterized LOC128740001
OG0000069_01	XP_055605219.1	51.9	LOC129753420	uncharacterized LOC129753420
OG0000070_00	XP_062704533.1	99.6	LOC134286857	uncharacterized LOC134286857
OG0000070_01	XP_062708599.1	98.6	LOC134288276	uncharacterized LOC134288276
OG0000073_00	XP_062702839.1	95.1	LOC109621515	myb-like protein AA
OG0000075_00	XP_053693028.1	97.1	LOC128741321	thioester-containing protein 1 allele R1-like
OG0000077_00	XP_001651000.1	99.2	LOC5566624	venom allergen 3
OG0000077_01	XP_029732953.1	99.6	LOC109433331	antigen 5 like allergen Cul n 1-like
OG0000078_00	XP_001659047.1	100	LOC5570266	brachyurin
OG0000079_00	XP_001651417.1	95.0	LOC5567003	serine protease snake
OG0000079_01	XP_001661117.2	100	LOC5574026	serine protease snake
OG0000079_02	XP_035890510.1	97.2	LOC118502395	uncharacterized LOC118502395
OG0000080_00	XP_038106936.1	48.2	LOC119766451	uncharacterized LOC119766451
OG0000082_00	XP_021695347.1	100	LOC110675228	uncharacterized LOC110675228
OG0000082_01	XP_019931895.3	99.6	LOC109622121	general odorant-binding protein 45
OG0000083_00	XP_315496.5	99.6	LOC1276182	farnesol dehydrogenase
OG0000084_00	XP_021699540.1	60.9	LOC5570730	uncharacterized LOC5570730
OG0000086_00	XP_001653712.2	97.3	LOC5571594	zinc finger protein 157
OG0000086_01	XP_021697299.1	95.6	LOC5575895	zinc finger protein 93
OG0000088_00	XP_001652216.1	100	LOC5579927	probable cytochrome P450 9f2
OG0000088_01	XP_029731420.2	99.6	LOC109426408	probable cytochrome P450 9f2
OG0000088_02	XP_062712173.1	90.7	LOC134283913	probable cytochrome P450 9f2
OG0000089_00	XP_029726806.1	96.4	LOC109621332	zinc finger protein 184
OG0000089_01	XP_038112353.1	86.8	LOC6037017	zinc finger protein 234
OG0000090_00	XP_021698491.1	93.0	LOC5569599	uncharacterized LOC5569599
OG0000092_00	XP_053687301.1	47.0	LOC128736832	uncharacterized LOC128736832
OG0000093_00	XP_001658732.2	100	LOC5569832	ficolin-1
OG0000094_00	XP_053690787.1	100	LOC128739333	ankyrin-3-like
OG0000095_00	XP_029730020.2	96.7	LOC115267258	zinc finger protein 808-like
OG0000095_01	XP_021698044.1	81.4	LOC5577022	zinc finger protein 708
OG0000095_02	XP_001661078.1	99.9	LOC5573991	zinc finger protein 708
OG0000095_03	XP_029723551.2	93.0	LOC109424788	zinc finger protein 583
OG0000095_04	XP_019544498.3	89.4	LOC109415079	zinc finger protein 260
OG0000096_00	XP_001863881.1	100	LOC6046722	larval cuticle protein A2B
OG0000099_00	XP_001659653.2	88.3	LOC5571371	adult-specific cuticular protein ACP-20
OG0000100_00	XP_040241360.2	99.5	Dhod	dihydroorotate dehydrogenase 2
OG0000101_00	XP_062703310.1	93.9	LOC115270278	uncharacterized LOC115270278
OG0000102_00	XP_062708282.1	99.0	LOC109412542	clotting factor C
OG0000103_00	XP_001844954.2	85.9	LOC6034666	cuticle protein 16.5
OG0000104_00	XP_001660601.1	98.9	LOC5572841	uncharacterized LOC5572841
OG0000105_00	XP_021709698.1	99.1	LOC110679435	protein ALP1-like
OG0000106_00	XP_021694267.1	98.5	LOC110674294	uncharacterized LOC110674294
OG0000107_00	XP_001863588.1	99.5	LOC6046372	protein G12
OG0000108_00	XP_038105912.1	99.5	LOC6031603	ovochymase-1
OG0000109_00	XP_038116981.1	93.5	LOC119769149	uncharacterized LOC119769149
OG0000110_00	XP_019561175.3	99.7	LOC109429627	odorant receptor 63a
OG0000110_01	XP_019557062.3	85.6	LOC109426099	odorant receptor 63a-like
OG0000111_00	XP_001649715.1	100	LOC5565358	cuticle protein 8
OG0000112_00	XP_038104661.1	96.0	LOC119765253	transcription factor Adf-1-like
OG0000113_00	XP_001649562.2	99.5	LOC5565231	uncharacterized LOC5565231
OG0000113_01	XP_019552855.3	98.1	LOC109422505	uncharacterized LOC109422505
OG0000113_02	XP_001653476.2	100	LOC5571169	uncharacterized LOC5571169
OG0000114_00	XP_021706345.1	99.6	LOC5565502	oocyte zinc finger protein XlCOF28
OG0000114_01	XP_001649853.2	87.3	LOC5565510	zinc finger protein 883
OG0000114_02	XP_021707132.1	87.5	LOC110678486	CAR1 transcription factor-like
OG0000115_00	XP_038113868.1	99.8	LOC6036475	uncharacterized LOC6036475
OG0000116_00	XP_062712928.1	95.7	LOC134290019	putative nuclease HARBI1
OG0000117_00	XP_062710738.1	81.8	LOC134288850	uncharacterized protein K02A2.6-like
OG0000118_00	XP_029731539.2	96.7	LOC109622134	gastrula zinc finger protein XlCGF67.1
OG0000119_00	XP_062714317.1	100	LOC109426052	phospholipase A2 inhibitor beta
OG0000119_01	XP_019564584.2	99.1	LOC109432669	leucine-rich repeat transmembrane neuronal protein 1-like
OG0000119_02	XP_001658252.2	100	LOC5568930	decorin
OG0000120_00	XP_021703665.1	95.7	LOC5573453	gastrula zinc finger protein XlCGF26.1
OG0000120_01	XP_019537154.2	98.0	LOC109408326	zinc finger protein 570
OG0000120_02	XP_062711291.1	84.2	LOC109428948	zinc finger protein 287-like
OG0000120_03	XP_029719840.2	91.5	LOC109406512	zinc finger protein 585A
OG0000122_00	XP_038122320.1	99.5	LOC119770835	uncharacterized LOC119770835
OG0000123_00	XP_062700493.1	93.2	LOC109415344	uncharacterized LOC109415344
OG0000125_00	XP_038106605.1	93.0	LOC119766237	uncharacterized LOC119766237
OG0000126_00	XP_040220777.2	99.0	LOC120948475	protein lethal(2)essential for life-like
OG0000127_00	XP_001657087.2	98.7	LOC5578689	serine protease easter
OG0000127_01	XP_021711014.1	99.8	LOC110679707	serine protease 7-like
OG0000127_02	XP_001657089.2	98.7	LOC5578691	serine protease easter
OG0000127_03	XP_053687810.1	97.5	LOC128737234	CLIP domain-containing serine protease B8-like
OG0000128_00	XP_019530688.3	98.2	LOC109402455	uncharacterized LOC109402455
OG0000131_00	XP_029725161.2	98.0	LOC109400253	heat shock protein 70 A1-like
OG0000131_01	XP_021709332.1	100	Hsc70-2	Heat shock protein 70 cognate 2
OG0000131_02	XP_021693653.1	100	LOC110674151	heat shock protein 70 A1-like
OG0000132_00	XP_001847874.2	77.8	LOC6038029	uncharacterized LOC6038029
OG0000133_00	XP_001648222.2	98.8	Smyd4-4	SET and MYND domain containing, class 4, member 4
OG0000134_00	XP_061502933.1	95.0	rdx	BTB/POZ and MATH domain-containing protein rdx
OG0000136_00	XP_061506365.1	98.1	LOC133392089	uncharacterized LOC133392089
OG0000137_00	XP_038117093.1	87.3	LOC119769234	uncharacterized LOC119769234
OG0000138_00	XP_029731535.2	94.4	LOC109403148	zinc finger protein 62 homolog
OG0000138_01	XP_021702080.1	89.6	LOC5575889	gastrula zinc finger protein XlCGF53.1
OG0000138_02	XP_021702081.1	93.0	LOC5573399	zinc finger protein 16
OG0000139_00	XP_558492.3	83.1	LOC3289901	uncharacterized LOC3289901
OG0000140_00	XP_029716635.2	94.1	LOC109622510	uncharacterized LOC109622510
OG0000141_00	XP_019539801.3	98.8	LOC109410743	putative helicase mov-10-B.1
